stage,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,4.09
72hpf,0,0,1.07,0
21Day,0,0,1.34,0
22Month,0.55,0.55,0,0
