stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,5.35,0,1.07,0,1.07,0,504.94,7.49,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,5.35,1.34,1.34,0,0,0,0,2.68,0,0,1.34,1.34,10.71,0,0,0,224.87,4.02,0,1.34,6.69,0,2.68,0,0,0,0
3Month,0.96,0,0.32,6.08,0,0.32,0,4.48,0.64,4.16,0,1.6,0.32,5.76,0.96,0.64,0.32,0,0.32,0.96,3.52,0,0,0,4.16,0,0,0.64,0.64,0.96
22Month,0,0,0,5.47,0,0,0.55,2.19,1.64,8.75,1.09,0.55,0,0,0.55,0,0,0,0,0,0,0.55,0,0,1.64,0,0.55,0,0,0
