stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,4.02,0,0,0
3Month,0.32,0.64,4.48,0.32,1.28,0,5.76,1.28,0,2.56,0.64,1.6,2.56,0.64,0,0,0.32,0.32,0.32,0,12.8,0.32,15.04,0.32
22Month,0,0.55,3.83,0.55,2.73,1.09,42.09,0,0.55,2.19,0,0.55,2.73,2.19,1.64,0.55,0,0,0,0.55,10.39,0,0,0.55
