stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,51.35,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0
21Day,0,12.05,0,0,0,0,0,1.34,18.74,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,49.59,0,0.32,0,2.88,1.28,4.16,1.28,0,0.64,0,0.32,0.64,0,0,0.32,3.84,0,0.32,9.6,1.28
22Month,0,10.39,0,0,1.09,8.75,2.19,1.09,0.55,1.64,1.09,0.55,0,0,0,0.55,0,2.73,0.55,0,0,0.55
