stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Neural_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,5.35,0
21Day,0,0,1.34,0,0,0,0,1.34,0,4.02,0
3Month,0.64,0.32,0.32,1.28,0,0,0.32,0,0,0,0
22Month,0,0,1.64,2.19,0.55,0.55,0,0,0.55,0,0.55
