stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,154.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,7.49,0,1.07,0,0,13.91,8.56,0,0,0,1.07,0,0,0,0,0,0,0
21Day,222.2,0,0,6.69,4.02,0,1.34,0,0,0,0,0,0,0,4.02,1.34,18.74,0,0,2.68,0,13.39,2.68,0,0,0,4.02,1.34,0,1.34,2.68,0,0,2.68
3Month,85.11,0.64,0,4.48,0,0.32,0,0.64,2.56,0,7.36,1.6,0.32,2.56,2.88,1.6,3.2,1.28,0,0.64,0,0.32,0,0,0,0,0.32,0.64,9.92,0,0,1.28,0.64,0.96
22Month,3.83,0.55,0.55,1.64,0,0.55,0,0.55,1.64,0.55,13.12,1.09,0,3.28,0,8.2,4.37,0,0,0,0.55,1.09,0,0.55,0.55,0.55,0.55,0,47.01,0,0,0.55,0,0.55
