stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,49.04,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,2.14,0,9.63,2.14,0,0,0,0,0,0,0,1.07,29.95,0,7.49,0,0,0,0,9.63,5.35,0,0,5.35,0,0,4.28,0,0,0
21Day,0,2.68,0,38.82,1.34,0,0,0,0,0,1.34,0,1.34,36.14,2.68,4.02,0,0,0,0,2.68,5.35,0,0,5.35,2.68,0,4.02,0,0,0
3Month,0,1.28,0,8,0,0.32,1.92,0,5.44,0.96,0,3.2,0.64,3.2,0.64,0.64,1.28,0,0.64,0.64,0,0,0.32,0.32,0.32,0.32,2.88,0,0.32,2.24,1.28
22Month,0,0.55,1.09,4.92,0,0.55,1.64,1.09,14.21,1.09,0,1.09,0,0.55,0.55,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,1.09,0,0,0
