stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,3.21,0,0,1.07,0,0,0,2.14,0,1.07,0,0,0,0,0
21Day,2.68,0,10.71,1.34,0,0,0,1.34,0,1.34,1.34,0,0,1.34,13.39,0,0,0,4.02,0,0,6.69,0,1.34,1.34,0,1.34
3Month,0,0.64,3.2,0,0,0.32,2.88,9.6,0.32,0,4.8,0.32,0,0.96,1.6,0,1.92,0.64,1.6,0,0.64,0,0.32,0,0,0,0.32
22Month,0,1.09,3.83,0,0.55,0.55,2.19,14.21,0,0,8.2,0.55,1.09,1.09,0,0,0,0,0,0.55,0.55,0,2.19,0,0,0.55,0
