stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Pancreatic_cell,Radial_glia,T_cell
21Day,1.34,0,0,4.02,0,0,1.34,2.68,0,0
22Month,0,0.55,0.55,24.05,0.55,7.65,0,0,0.55,0.55
