stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,24.52,0,20.43,0,0,0,0
72hpf,0,1.07,1.07,0,0,1.07,6.42,2.14,0,3.21,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0
3Month,0.32,0,0.64,0,1.6,0.32,0.64,0,0,0,0,1.92,10.24
22Month,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0
