stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,171.63,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,20.43,0,0,4.09,1908.35,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,7.49,0,0,692.15,0,21.4,0,0,0,0,0,0,0,0,0,3.21,19.26,1.07,50.28,1.07,0,139.07,644.01,2.14,0,79.16,0,0,171.17,0,243.91,0,0,0
21Day,6.69,0,6.69,775.01,1.34,28.11,12.05,1.34,1.34,0,0,2.68,0,6.69,1.34,0,46.85,6.69,57.56,4.02,0,44.17,93.7,0,1.34,305.19,22.76,0,50.86,8.03,124.48,0,0,1.34
3Month,0,0.32,0,20.48,0,0,0,0,0.32,0.32,0,2.24,0.96,0,0.32,0,61.11,0.64,0.32,0.32,0.32,0,0.32,0,0.64,11.84,0,3.52,0,0,0.96,0.32,0.64,0.64
22Month,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
