stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,0,0,0,2.14,1.07,0,1.07,0,0,0,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,1.34,1.34,0,0,0,14.72,1.34,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,4.02
3Month,0.32,5.12,0.32,0,1.92,10.88,0,8.96,344.27,0.32,3.2,0.32,2.24,127.34,4.8,0.96,0.96,1.28,0.32,0,0.32,0,0.64,1.28,2.56,0.96,1.6,3.84,13.76
22Month,0,0.55,0,0,0,7.11,0.55,3.83,56.31,1.09,0.55,0,0.55,48.11,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0
