stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,4.09,12.26,20.43,0,0
72hpf,2.14,0,0,0,2.14,26.74,5.35,1.07,2.14
21Day,1.34,2.68,1.34,1.34,5.35,12.05,5.35,5.35,0
