stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.64,0.32,0,1.6,0.64,0.32,0.32,0,0.32,0.96,0.32,0.32,0.32,0.64,0.32,0.32,0.32,0.64,0.32,32.31
22Month,0.55,0.55,0,0.55,3.28,0,0,0,0.55,1.64,0.55,0,0,0,0,0,0,0,0,0,4.37
