stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,36.78,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,131.58,0,4.28,0,6.42,12.84,0,2.14,0,0,0,0,0,0
21Day,33.46,1.34,0,0,0,0,0,0,97.71,0,5.35,1.34,0,2.68,0,0,4.02,0,1.34,0,0,0
3Month,34.55,0,0.96,0.32,0,2.88,0.64,1.6,1.6,0.96,0,0,0.32,0,0,0,0.32,4.48,0,0.32,20.8,0.32
22Month,0,0,0,0,0.55,6.01,0,0,0,0,3.28,0,0,0,0.55,0,0,3.83,0,0,0,0
