stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,6.42,1.07,0,0,0
21Day,0,0,1.34,0,0,2.68,0,0,1.34,0,0,0
3Month,0,5.12,0.64,0,1.28,0,6.08,0,0.32,0.64,0,0.32
22Month,0.55,3.28,1.64,2.73,3.28,0,71.07,0,1.09,1.09,1.09,0
