stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,24.52,0,0,8.17,143.02,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,3.21,5.35,0,0,0,0,0,0,0,4.28,8.56,4.28,8.56,1.07,0,58.84,42.79,0,14.98,2.14,4.28,0,1.07,0,0
21Day,10.71,0,29.45,5.35,5.35,1.34,0,2.68,2.68,16.06,5.35,5.35,18.74,5.35,22.76,0,1.34,21.42,41.49,1.34,5.35,2.68,2.68,4.02,2.68,0,5.35
3Month,0,0,0.64,0,0,0,0.32,4.8,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0.55,0,0,0,0.55,16.95,0,0.55,0.55,0,0,0.55,0,2.19,0,0,0,0,0,0,0,0,0,0,0
