stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,1.07,0,2.14,0,359.45,0,0,0,0,0,0,0,0,1.07,0,1.07,12.84,0,0,0,0,0,0,0,0
21Day,9.37,1.34,10.71,2.68,2298.26,0,80.31,0,0,1.34,5.35,1.34,2.68,10.71,17.4,14.72,29.45,6.69,1.34,6.69,41.49,6.69,2.68,21.42,2.68
3Month,0,0,0.32,0,0,7.68,0,0,0.32,0,0,0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
