stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68
3Month,0,0.64,2.56,17.28,1.28,0.64,14.4,9.92,0,12.8,4.16,1.28,67.19,1.28,2.56,13.12,1.6,0.64,0,5.44,0.64,0.64,0,1.92,0.32,0,0.32,1.28,0.96,2.56,2.56,21.76
22Month,1.09,9.29,9.29,28.43,2.73,1.09,20.77,30.61,8.2,71.61,3.28,7.65,165.09,0.55,3.83,30.07,7.65,0,1.09,4.37,0.55,1.09,0.55,3.28,0.55,0.55,2.19,1.09,4.37,1.09,0,18.04
