stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,4.09,98.07,57.21,16.35,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,130.51,13.91,0,0,0,0,4.28,2.14,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,17.4,1.34,0,1.34,0,0,0,1.34,8.03,0,1.34,10.71,13.39,4.02,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.32,0,36.47,0,0.32,0.32,0,0.32,2.24,11.84,0.32,1.92,2.88,1.6,53.11,0.64,0.32,0,0.32,0.32,0.32,0.32,0.32,0.32,1.92,0.32,0.64,0.64,0.64,0.96
22Month,0,1.64,0.55,3.28,0,0,0,1.64,0.55,22.96,12.03,0,41.55,0,0,21.87,1.64,0,0.55,0,0,0,0.55,0.55,0.55,17.49,0,0,0,0,1.64
