stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,14.98,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,14.72,0,0,0,0,0,0,1.34,1.34,14.72,0,0,0,1.34,0,1.34,0,0,0,2.68,4.02,1.34,0,0,1.34
3Month,0.32,0,8.32,0.32,0,4.48,0.64,0,1.6,0,1.28,212.45,3.84,0.64,0.32,0.32,0.32,0,0,0,0.32,24.32,0.32,0,0.96,7.04,1.28
22Month,0.55,1.09,4.92,1.64,0.55,7.65,0.55,0.55,0.55,0.55,0,132.29,1.09,0,0.55,2.19,0.55,0,0.55,0.55,1.09,17.49,7.11,0,0,0,0
