stage,Goblet_cell,Granulocyte,Ionocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,4.09,0,0,0,0
3Month,0.32,0.32,0.32,0.32,0,0,0.32,9.6,19.52,0.32
