stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,23.54,1.07,0,2.14,0,1.07,0,0
21Day,1.34,0,1.34,0,0,0,0,41.49,0,0,0,0,0,2.68,1.34
3Month,0,0.32,0.96,0,1.28,0,0,0.32,0,0,0,0.32,0,0,0
22Month,0,0,0,0.55,6.01,0.55,0.55,1.09,0,0.55,0,0,0,0.55,0
