stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,4.09,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,6.42,0,0,0,0,0,0,0,0,0,0,2.14,6.42,0,2.14,0,0,0,4.28,3.21,0,1.07,0,0,0,0,0,0
21Day,0,4.02,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,0,0
3Month,0.32,13.12,0.32,0,1.28,0.64,0,0,31.04,1.6,0.32,3.84,2.24,2.24,0.96,3.2,0,0.64,2.56,0.32,0,0.32,0,0,82.55,0.64,0.32,16,0.96
22Month,0,6.01,0,0.55,0.55,1.64,1.64,0,67.24,1.64,1.09,8.2,0,0.55,3.28,2.73,2.73,0,0.55,0,1.09,0.55,0,0,60.68,1.64,1.09,0,1.64
