stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0
3Month,4.16,0,8.64,2.88,0.32,0.64,8,0,1.6,0,2.24,0.32,0.32
22Month,0,0.55,1.09,0,0,1.64,0.55,0,1.09,0.55,1.09,0,0
