stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,3.21,1.07,0,0,0,0,0,7.49,1.07,2.14,0,594.8,11.77,0,0,3.21,0,0,1.07,150.84,147.63,1.07,0,0
21Day,0,0,9.37,5.35,0,1.34,0,0,1.34,1.34,4.02,6.69,0,117.79,1.34,0,1.34,1.34,1.34,0,0,72.28,287.78,5.35,0,0
3Month,0,0.32,7.36,0,0.32,0,0.32,4.16,0.64,0.32,0.32,0.64,2.24,0.64,0,0.32,0,0,0,1.6,0,0.96,0,0,0.96,0.64
22Month,0,0,0.55,0,0,0,0.55,1.64,0,0.55,0,0,0,0.55,0,1.09,0,0,0,0,0.55,37.72,0,0,0,0
