stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,40.86,0,8.17,93.99,0,4.09,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,3.21,0,4.28,5.35,0,7.49,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,9.37,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,1.92,0.32,4.8,0,0.32,0.32,3.2,6.08,2.88,0,6.4,1.28,1.28,1.92,1.92,0.32,0.96,0,0.64,0,0.32,115.5,0.32,0.32,1.28,36.79,2.88
22Month,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0
