stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,40.86,502.63,0,0,8.17,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,2.14,0,10.7,0,0,0,0,0,0,0,0,0,11.77,0,18.19,0,2.14,0,930.72,114.47,3.21,17.12,29.95,1.07,0,21.4,3.21,16.05,0,0
21Day,2.68,0,0,8.03,0,8.03,4.02,0,0,0,0,0,5.35,0,0,2.68,2.68,33.46,0,0,4.02,236.92,60.23,1.34,5.35,24.09,4.02,1.34,9.37,5.35,1.34,0,1.34
3Month,0.32,2.56,0.96,11.52,0.64,0,0.32,0.64,3.84,0.64,5.76,1.6,0.32,1.92,0.32,4.16,3.84,10.24,19.52,0,2.24,14.4,2.24,6.4,6.72,1.28,0,29.44,0.96,0.64,1.28,6.08,0
22Month,0.55,2.19,1.64,9.84,0.55,0,0.55,0.55,4.92,3.83,20.77,4.37,1.64,2.19,0.55,0.55,2.73,5.47,3.28,0,0,12.03,3.28,21.32,20.77,0,0,15.31,2.73,0.55,0,0,0
