stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,20.43,0,0,8.17,24.52,0,0,0,0,0,0,0
72hpf,2.14,0,4.28,79.16,0,0,0,0,0,0,0,0,25.67,0,3.21,63.12,4.28,1.07,3.21,0,0,1.07,0,0
21Day,0,0,10.71,9.37,0,0,0,0,0,1.34,0,4.02,18.74,2.68,1.34,56.22,1.34,0,4.02,0,0,1.34,0,0
3Month,0,0,0.96,0,0.96,0.32,0,6.72,0.32,0.32,0.32,0,1.28,0,0.32,0.32,0,0.32,0,1.28,23.36,0,0.32,4.48
22Month,0,1.09,1.09,0,0.55,1.09,0.55,10.93,0,0,3.28,0,0.55,0.55,2.73,0,0,1.09,0,0,8.75,0,0,0
