stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0
72hpf,1.07,2.14,1.07,0,0,0,0,1.07,0,0,0,0,28.88,2.14,0,0,1.07,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0.32,0.96,0.32,1.6,0.64,0.64,0.96,0.32,0.32,0,0,0,0.64,0,0,0
22Month,0,0.55,0,0,2.73,0.55,0,0,0,0,0,0,0,0,0,1.09,0,0,0.55
