stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,32.09,0,0,0,1.07,3.21,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,7.49,2.14,0,0,0,1.07,0,0,0,0,0
21Day,53.54,1.34,0,5.35,0,9.37,0,2.68,0,0,0,0,1.34,0,0,1.34,0,4.02,1.34,0,5.35,5.35,0,2.68,2.68,0,1.34,1.34,0,0,0
3Month,0.32,0,0.32,2.24,0,0,0.32,0,0.32,0,6.08,0.96,0,3.84,0.64,0.32,0,0.64,0,0,0.64,0,0.32,0,0,8.64,0,0,0,6.4,0.32
22Month,0.55,0.55,0,2.19,0,0,0,0,0.55,1.09,16.95,0.55,0,8.75,0,0.55,0.55,2.19,0,2.73,1.64,0,0,0,0,2.19,0,0,0.55,0,1.09
