stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,220.38,4.28,0,0,3.21,0,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,2.68,2.68,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.34,0,107.08,1.34,0,0,1.34,2.68,0,1.34,2.68,0,0,0
3Month,0,0.32,0,3.84,0.32,0,0,0.64,0.64,0,6.08,1.6,0,2.24,0.64,2.56,0.64,0.32,0.64,0,0.32,0.32,7.04,0,0,0,0,0.64,8,0,0,0,1.6,0.96
22Month,0,0.55,1.09,3.83,0,0,1.09,0.55,2.73,0.55,46.47,0.55,0.55,7.65,0,1.64,2.19,3.28,0,2.19,1.09,0,6.56,0,0.55,0.55,0,1.09,43.19,1.09,0,0.55,0,1.09
