stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,8.17,0,0,0,0,0,0,20.43,0,4.09,12.26,0,4.09,8.17,281.96,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,8.56,1.07,0,0,0,0,0,1.07,2.14,0,2.14,0,1.07,28.88,20.33,1.07,0,1.07,7.49,1.07,1.07,1.07,0,0,0
21Day,1.34,0,0,5.35,6.69,0,0,0,0,0,0,1.34,0,0,1.34,0,0,6.69,4.02,0,1.34,1.34,5.35,1.34,0,0,0,0,1.34
3Month,0.32,1.28,0.32,22.72,1.28,0,0.64,0,7.04,1.92,1.92,6.72,1.28,0.96,1.6,0,2.88,7.04,0.64,0.32,0.96,27.2,0,0,0,0,0.32,193.89,1.28
22Month,0,0,0.55,15.85,0,0,0,0.55,5.47,0,1.64,1.09,0,1.09,0,0.55,0,0,0,0.55,0,39.91,0.55,0,0,0.55,0,0.55,0
