stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,2.68,0,0,0,1.34,0,0,0,1.34,1.34,0,2.68,2.68,0,0
3Month,0,2.88,0.32,7.36,3.84,1.28,0.64,1.28,0.32,0.64,0.64,0.96,0.32,1.92,0.32,3.52
22Month,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55,0,0
