stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,0,0,75.96,6.42,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,37.48,9.37,1.34,0,0,2.68,0,0,2.68,1.34,1.34,0,0,0,0
3Month,2.24,1.28,18.24,0,1.92,3.52,0,197.41,2.56,0.32,2.88,3.2,4.48,6.72,7.68,1.28,0,1.6,3.84,11.2,0,2.24,0.32,0,0,2.24,6.4,0,0,0,0,0.96,1.28,4.16
22Month,8.75,0,10.93,1.64,1.09,3.28,12.57,151.97,1.09,0,4.92,1.64,1.09,10.93,27.88,0,10.39,1.64,0,3.28,0,1.64,2.19,0.55,0,0,3.83,0,0,0,1.09,0,0,3.28
