stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,1.92,0,0.96,3.52,1.28,0.96,0.32,0.32,0.96,0,0.32,0.32,0.64,67.83,89.27,0.32
22Month,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0,0,4.92,0,0
