stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.32,0,0,0.32,0,0,2.24,0,0,1.28,0,0.64,0.32,1.28,0,0,0.32,0,0,0,0.32,0.32,0,0.32
22Month,1.09,2.19,7.11,1.09,0,0,13.67,1.64,36.63,0.55,2.73,2.19,0.55,3.28,458.64,3.83,2.19,0.55,0.55,0.55,0.55,0.55,0,0.55,1.64,8.75
