stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,0,20.43,0,0,0
72hpf,1.07,1.07,0,0,1.07,2.14,1.07,6.42,3.21,0,0,0
21Day,4.02,0,1.34,1.34,0,2.68,4.02,1.34,2.68,1.34,2.68,2.68
