stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,40.86,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,1.07,5.35,0,5.35,13.91,0,3.21,0,0,1.07,1.07,0,0
21Day,0,1.34,4.02,0,1.34,0,0,0,0,0,2.68,1.34,5.35,0,1.34,2.68,1.34,0,1.34,1.34,1.34,1.34,0,0
3Month,0.64,0,0.96,0,0,0.64,1.6,1.28,0.64,0.32,0,0,0.64,0.32,0,0,0,0,0,8.96,0,0,7.04,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
