stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,1.07,2.14,0,5.35,0,0,1.07,2.14,0,3.21,1.07,0,0,1.07,2.14,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,2.68,0,0,1.34,5.35,4.02,0,0,0,0
3Month,0.32,1.28,0,4.48,0.32,0.32,0.32,2.24,0,3.2,0.64,2.56,0.32,0.64,1.6,0.32,0.32,0,1.28,0,0,3.52,0.32,0,0,0.32,0.64,15.36,0.32
22Month,0,1.09,0.55,1.09,0,0.55,0,4.37,0.55,0,1.09,0,0,1.64,0,0,0,0,1.09,0,0,0,0,2.19,0,0,0,0,0
