stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,40.86,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,1.07,0,0,0,0,0,2.14,0,0,2.14,1.07,5.35,0,0,37.44,27.81,0,0,0,0,1.07,0,1.07,4.28,0,0,1.07
21Day,1.34,0,25.43,29.45,0,0,0,5.35,0,0,0,34.8,4.02,1.34,6.69,12.05,4.02,8.03,0,42.83,9.37,1.34,1.34,4.02,0,2.68,2.68,6.69,9.37,0,0,2.68
3Month,0.32,2.56,6.72,0,0.64,0.32,1.28,4.48,0,2.56,0.96,1.6,1.28,0.64,2.88,1.28,1.92,7.04,0.64,0.32,0,0.64,0,0.32,0.32,0,0,0,0,3.52,3.84,1.28
22Month,0.55,2.73,3.83,0,0,0,1.09,7.65,0.55,9.84,0,0.55,0,0,0.55,7.65,1.09,0.55,0,0,0,0,0,0,0,0,0.55,0,0,1.09,0,0.55
