stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,8.17,4.09,12.26,0,0,0,40.86,0,0,0,0
72hpf,0,6.42,2.14,0,0,0,0,0,0,3.21,9.63,0,0,1.07,1.07,1.07,4.28,0,0,1.07,0
21Day,0,5.35,0,0,0,0,0,1.34,0,0,5.35,0,2.68,0,0,0,1.34,0,1.34,0,0
3Month,0.64,0.96,0,0,0.32,0,8.32,0,1.28,0.32,0.32,0,0,0.32,0.96,0,0,0.64,3.84,0,1.28
22Month,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
