stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,9.37,0,0,0,17.4,0,6.69,0,9.37,4.02,4.02,0,1.34,1.34,4.02,1.34,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.32,0.32,1.92,7.68,0.32,1.28,4.48,446.33,2.24,7.04,1.6,1.92,10.88,2.24,1.28,0.96,19.52,0,0,0.96,0.96,0,0.32,5.44,2.56,0.64,0,0,1.6,1.28,0.96
22Month,1.09,0.55,0,3.28,1.09,0.55,2.19,575.08,1.09,2.19,0.55,0.55,4.37,2.19,20.23,1.64,0,0.55,0,0.55,0.55,1.09,0,0.55,0.55,0.55,0.55,0,0,0,0
