stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,40.86,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,227.87,3.21,0,3.21,1.07,2.14,0,0,0,0,0,0,1.07,6.42,0,3.21,3.21,1.07,0,46,24.61,0,0,7.49,0,0,2.14,0,1.07,0,0,0
21Day,156.61,0,0,6.69,0,6.69,1.34,0,0,1.34,0,1.34,0,4.02,1.34,9.37,1.34,0,0,9.37,2.68,0,0,6.69,0,0,0,4.02,0,0,0,0
3Month,4.48,0,0.32,2.24,0,0,0,0.32,2.88,0.32,0,0.96,0,0.64,0.32,0,0,0,0.32,0.64,0,0,0,0,0.32,1.6,0,0,0,0.32,0.64,0.64
22Month,3.28,1.64,0.55,2.73,0,0,0.55,1.64,39.91,0.55,1.09,7.65,0,0,1.09,0.55,0,0.55,0,0,0,1.64,1.09,0,0,2.19,0.55,0,0,0,0,0
