stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,1.07,2.14,0,0,0,1.07,0,23.54,7.49,0,2.14,0,0,5.35,0,0,0
21Day,0,0,0,8.03,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,4.02,0,0,2.68,0,0,0,0,0
3Month,0,0,0.32,3.52,0,0,1.92,11.2,0.32,0,1.6,0.32,3.52,0.96,0.64,0.32,0,1.6,0,0,0.64,0,0.32,1.28,0,0.64,2.56,0.96
22Month,0,0.55,0,1.64,0,0.55,0.55,32.25,0.55,1.64,0.55,0,1.09,2.73,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,0,1.09
