stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,4.28,1.07,0,0,1.07,0,0
21Day,2.68,0,0,0,0,0,1.34,1.34,1.34,1.34,0,0,0,0
3Month,0.64,0.96,0.32,0,0.32,0,0,0,0,0,0.96,0,0.32,0.32
22Month,0,2.19,0,0.55,0,0,0,0,0,0,0,0,0,0
