stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,4.09,4.09,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,7.49,1.07,8.56,0,0,0,0,4.28,16.05,0,16.05,0,1.07,1.07,1493.43,55.63,1.07,2.14,14.98,1.07,0,4.28,0,2.14,0,0,0
21Day,4.02,2.68,10.71,0,5.35,1.34,0,1.34,1.34,1.34,5.35,1.34,13.39,0,0,0,406.91,10.71,0,1.34,4.02,18.74,0,5.35,4.02,0,0,0,1.34
3Month,0,0,1.6,0,0,0.32,3.52,0,0.64,0,0,0,0.64,0.32,0,0,3.84,0,0,0,0,0,3.84,0,0,0,0.32,7.68,0
22Month,0.55,0,1.09,0,0,1.09,8.75,0,0,0,0.55,0.55,0.55,0,0,0,1.09,0,0.55,0,0,0,3.28,0.55,0,0,0,0,0.55
