stage,Epithelial_cell__Brain_,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,1.07,0,1.07,0,1.07,2.14,0
21Day,1.34,0,0,0,1.34,0,0,0
3Month,0,0,0.32,0,0,0,0,0.32
