stage,Endothelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,1.07,0,0,4.28,0,0,1.07
3Month,0,0,0.32,0.32,0.32,0.32,0,0
22Month,0.55,0,17.49,0,0,0,0,0
