stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,4.28,22.47,0,7.49,0,0,0,3.21,8.56,0,0,4.28,0,0,3.21,0,0,0,0,0
21Day,6.69,2.68,0,25.43,0,2.68,0,0,0,1.34,0,1.34,0,1.34,0,16.06,0,8.03,0,0,2.68,4.02,6.69,0,0,2.68,1.34,0,0,1.34,1.34,0,0,0
3Month,0.32,0.32,0,3.52,0,0,0,0,0.32,0,4.16,0,0,1.28,0,0.32,0.64,0.64,0.32,0,0.32,0,0,0,0,0,0,1.6,0,0,0,0.64,1.6,0
22Month,0,0.55,1.09,1.64,0,0,0.55,1.09,3.83,1.64,21.32,0.55,1.09,4.37,0,0.55,0,1.09,0,0.55,0,0,0,0.55,1.09,0,0,1.09,0,0,0,0,0,0.55
