stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0,0,0,3.52,0,0.32,0,0.32,4.16,0.32,0.32,0,0.96,201.25,0,0,1.28,2.88,0,0,0.32,0.32,3.2,8.32,0.32,0.64,0
22Month,0,6.01,0.55,3.28,0.55,0,0.55,3.83,36.63,0.55,9.29,0.55,3.83,799.76,1.09,2.19,0.55,0,0,0,0,60.13,1.64,0,0,0.55,0.55
