stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,8.17,0,0,0,0,4.09,98.07,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,10.7,1.07,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,2.14,0,0,0,0,27.81,14.98,2.14,1.07,3.21,0,0,3.21,0,0,0,0,0
21Day,0,0,0,10.71,1.34,4.02,0,0,0,0,0,0,0,0,2.68,1.34,1.34,2.68,0,0,0,0,0,0,4.02,1.34,2.68,5.35,0,0,1.34,8.03,1.34,0,0,0,0
3Month,0,0.64,2.88,33.91,7.36,0,0.32,0.32,0,4.48,1.92,0,207.33,2.56,0,66.23,3.84,5.12,2.24,4.48,0.64,0.64,1.6,4.48,0.96,0,0.96,7.04,0.64,3.52,57.27,0.32,0,0,0.64,14.4,2.24
22Month,0,1.09,2.73,33.35,5.47,0,1.09,0,0.55,2.73,1.64,0,264.58,1.64,0.55,49.2,0.55,1.64,3.28,3.28,0,18.04,1.64,1.09,0.55,0.55,2.73,19.68,0,0.55,9.29,1.09,0,1.09,0,0,1.09
