stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,0,5.35,0,0,1.07,2.14,0,0,0,0,0,0
21Day,0,0,9.37,1.34,0,0,0,0,2.68,0,0,12.05,5.35,5.35,2.68,1.34,0,4.02,0,0,0,2.68
3Month,0.32,0.64,4.16,0,0.64,1.28,6.08,1.6,0,1.92,0.64,0.64,1.6,0.32,0.32,0,0.32,0,0.64,0.32,0.64,1.6
22Month,1.09,0.55,3.28,0,0.55,1.64,9.84,1.09,0,8.2,0,0,2.19,1.09,0,0,0.55,0,0,0.55,0,1.09
