stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,1.07,0,31.02,7.49,0,0,2.14,0,0,1.07,127.31,171.17,0,0
21Day,2.68,2.68,2.68,38.82,24.09,4.02,1.34,0,0,5.35,2.68,16.06,4.02,5.35,28.11,2.68,45.51,0,2.68,0,65.59,28.11,2.68,0,21.42,9.37,0,1.34,626.43,3575.22,2.68,5.35
3Month,0,0,0,0.32,0,0,0,0.64,0,0.64,0.32,0,1.28,0.32,0.64,0,0.64,0,0.32,0,0.32,0,0,0.32,0,0,0.64,0,0.32,0,0.32,0.32
22Month,0,1.09,0.55,2.73,0,0,0,1.64,1.09,33.89,1.09,1.09,3.83,0,0.55,0.55,3.28,2.19,0,0.55,0.55,0,0.55,0.55,0,0,2.73,0,10.39,1.09,0,0
