stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,17.4,1.34,0,0,0,0,0,0,0,0,1.34,8.03,2.68,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,49.59,0,0,1.6,1.6,0,7.68,2.24,4.48,1.6,2.88,1.6,2.24,1.28,0,396.1,0.64,0.32,0,0.32,0.96,3.52,1.92,0.32,0.64,0.32,0.64
22Month,1.64,0.55,33.35,0,0.55,3.28,1.09,0.55,21.32,0.55,4.37,0,0,0.55,2.19,0,0.55,345.49,0,0,0.55,0,0,4.92,0,0,0.55,0,0
