stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,20.43,784.59,4.09,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,0,187.97,0,0,0,12.26,384.12,0,0,167.54,0,0,0,0,4.09,0,0,0
72hpf,6.42,2.14,63.12,10.7,4.28,0,0,0,0,0,0,0,0,0,0,0,253.54,0,104.84,0,1.07,8.56,26.74,16.05,1.07,0,447.17,0,0,12.84,0,7.49,0,0,0
21Day,1.34,0,16.06,1.34,2.68,0,0,0,0,0,0,1.34,1.34,1.34,1.34,1.34,44.17,0,107.08,0,0,14.72,9.37,4.02,0,0,157.95,4.02,0,0,2.68,0,0,0,0
3Month,0.64,1.28,10.88,0.32,0,0.32,0.64,7.68,2.88,0.32,0,3.84,6.08,0,0.64,0,15.68,1.28,84.15,10.88,0,3.52,0,0,0,0.32,12.8,0.32,1.28,0.96,0,0.64,1.6,0.64,0.32
22Month,0,0,0.55,0,0,1.09,0,0.55,0.55,1.09,0,3.28,4.37,0,1.64,0,0,1.09,25.69,0.55,0,1.09,0,0.55,0,0,1.64,0,0,0,0,0,0,0,0
