stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,8.17,4.09,28.6,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,17.12,14.98,3.21,0,2.14,0,0
21Day,0,4.02,0,0,0,0,0,1.34,0,5.35,2.68,1.34,0,1.34,0,1.34
3Month,0.32,0.96,0,0.32,0.32,1.6,0.32,0.32,0,0,0,0,0,0,0.32,0.64
22Month,0.55,0.55,0,0,0,11.48,0,0,0,0,0,0,0.55,0,0,0
