stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,8.17,16.35,0,0,12.26,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,2.14,1.07,7.49,0,0,1.07,4.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,8.03,0,0,0,1.34,2.68,0,0
3Month,0.32,1.28,1.28,0.64,0.32,3.52,0.64,0.32,0.32,0.64,0,21.44,4.16,0,0,0.32,0.32,0,0.32,0.32
22Month,0.55,0.55,0,0,0,2.73,0,0.55,0.55,0,0,1.09,1.09,0.55,0.55,0,0,0,0,0
