stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,1.07,1.07,0,0,4.28,0,0
21Day,1.34,1.34,0,0,0,0,0,4.02,1.34,0,2.68,0,0
3Month,0,0,0,0,0.32,0,0.32,0,0,0.32,0,0.96,0.96
22Month,0,0,0.55,0.55,2.73,0.55,0,0.55,0,0,0,0,0
