stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,5.35,0,0,0,0,0,0,0,0,0,12.84,0,0,0,4.28,0,0,8.56,0,0,0,0,0
21Day,0,4.02,0,2.68,0,0,0,1.34,0,1.34,0,70.94,0,0,0,2.68,5.35,1.34,6.69,1.34,0,2.68,0,0
3Month,0.32,1.28,1.28,0,0.32,5.44,0,0.64,0.32,0.64,0.32,5.76,0.32,0,0.32,0,0,0,0.32,0,0.32,0,0.64,0.32
22Month,0,3.28,0.55,0,0,13.12,0.55,5.47,0,0,1.64,2.19,0,0.55,0,0,0,0.55,0,0,0,0,0,0
