stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,65.38,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,140.14,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,1.07,0,8.56,1.07,0,0,11.77,0,0,0,0,0,0,0,0
21Day,97.71,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,5.35,0,0,0,1.34,1.34,0,1.34,2.68,0,0,0,1.34
3Month,13.12,0.32,0.32,11.84,0,0,0.64,0,1.92,3.84,0.32,16.64,2.56,0.96,4.8,1.6,2.88,2.56,6.08,11.52,0,0.32,0.64,0,0,0.64,0,0.32,1.92,10.56,0.32,0,0.32,1.28,4.16,3.2
22Month,4.37,4.92,2.19,8.2,0.55,0,1.09,1.09,2.19,9.29,3.28,197.34,4.37,1.09,12.03,0,2.73,4.92,21.87,3.83,9.29,2.19,0.55,0,1.09,1.64,0.55,0,0.55,2.19,1.09,0,0,0.55,0,4.37
