stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0,0.32,1.28,0.32,0,0.32,0.32,0.32,0.96,0.32,0.32,0,0,0,0,0.32,0
22Month,0,0.55,1.64,0.55,7.65,0,0.55,0,0.55,0,1.09,0,0,0,0.55,0.55,0,1.64,0.55
