stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,5.35,0,0,0,0,0,1.07,0,0
21Day,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0,0,2.68,4.02,0,0,0,0,1.34,2.68,0,0
3Month,2.56,0,0.96,0.64,0.32,2.24,0.32,0.32,0.32,2.56,0.64,0.32,0.32,0,0,0.32,0.32,0.32,0.64,67.19,0.32,36.79,1.28
22Month,0.55,0,0,2.19,0,0,0,0.55,0,0.55,0,0,0,0,0,0.55,0,0.55,0,27.88,0.55,0.55,0.55
