stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1818.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,4.09,0,0,0,0,0,0
72hpf,605.5,0,3.21,0,0,0,0,0,0,0,2.14,2.14,0,5.35,0,16.05,7.49,1.07,5.35,0,0,1.07,0,1.07,0
21Day,120.47,0,1.34,1.34,0,0,0,0,0,0,1.34,2.68,0,12.05,2.68,5.35,4.02,0,1.34,1.34,0,1.34,1.34,0,0
3Month,1.92,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0.32
22Month,0,2.19,3.83,0,0.55,1.09,1.64,8.75,0.55,1.09,0,0,0.55,8.2,0,0,0,0,0,0,0,0,0,0.55,0
